Ano,Trimestre,UF,UPA,V1008,V1014,V2003,VD4009,V4019,VD4012,VD4002,V2007,V2010,V2009,VD2002,VD2003,V1022,V1023,VD3004,V3002,VD4010,VD4011,V4018,V4025,V4040,VD4031,V1028,VD4016,VD4017
2025,4,14,140024005,12,13,3,,,,,1,1,83,6,3,1,2,2.0,2.0,,,,,,,30.24701696,,
2025,1,27,270043077,9,12,1,,,,,2,4,73,1,2,1,4,2.0,2.0,,,,,,,244.36729609,,
2024,3,52,520087599,2,11,1,,,,,2,1,26,1,4,1,4,5.0,2.0,,,,,,,749.38251605,,
2024,4,14,140002411,3,11,2,,,,,2,4,39,2,2,1,1,6.0,1.0,,,,,,,59.66338744,,
2025,3,33,330144976,11,12,2,,,,,1,1,69,2,2,1,1,7.0,2.0,,,,,,,527.5212421,,
2023,1,33,330316497,10,10,2,9.0,2.0,2.0,1.0,2,1,64,2,2,1,2,5.0,2.0,7.0,3.0,1.0,,4.0,40.0,165.52138735,1500.0,1500.0
2023,1,31,310253705,2,10,1,,,,,1,4,55,1,4,2,4,2.0,2.0,,,,,,,426.23829066,,
2023,4,11,110013782,2,11,1,,,,,2,1,47,1,4,1,4,5.0,2.0,,,,,,,273.12073943,,
2023,1,27,270005224,12,10,4,,,,,2,2,74,6,6,1,1,1.0,2.0,,,,,,,162.39618387,,
2025,2,15,150106434,6,12,2,9.0,2.0,2.0,1.0,2,2,22,2,4,1,4,5.0,2.0,10.0,5.0,1.0,,2.0,44.0,1419.68801964,4300.0,4300.0
2024,4,43,430093417,10,12,1,,,,,1,1,66,1,2,2,4,2.0,2.0,,,,,,,103.16741075,,
2024,1,26,260071103,14,10,3,,,,,1,1,16,8,4,1,1,3.0,1.0,,,,,,,320.82865672,,
2024,2,51,510031337,8,11,2,,,,,2,2,45,2,4,2,4,2.0,2.0,,,,,,,139.28551185,,
2024,2,43,430059513,14,11,3,,,,,1,1,13,3,4,1,4,2.0,1.0,,,,,,,482.51864467,,
2023,4,29,290043908,14,10,1,,,,,1,4,60,1,7,2,4,1.0,2.0,,,,,,,128.5752731,,
2023,3,26,260061792,12,10,4,,,,,1,1,13,3,6,2,4,2.0,1.0,,,,,,,396.83997117,,
2024,3,22,220003083,5,12,7,,,,,1,4,21,4,8,1,4,5.0,2.0,,,,,,,232.42231428,,
2024,2,28,280040970,3,11,1,4.0,,2.0,1.0,2,4,53,1,2,1,4,2.0,2.0,11.0,5.0,,,3.0,40.0,179.49025674,400.0,400.0
2024,1,13,130054710,3,11,1,2.0,,2.0,1.0,1,4,44,1,3,2,4,4.0,2.0,1.0,6.0,1.0,2.0,4.0,40.0,32.03397794,1412.0,1412.0
2024,3,31,310233345,14,12,2,2.0,,2.0,1.0,2,4,42,2,4,2,4,2.0,2.0,6.0,5.0,1.0,2.0,4.0,60.0,165.32066587,1500.0,1500.0
2024,4,52,520014542,11,12,3,,,,,1,4,2,3,3,1,3,,,,,,,,,813.56993265,,
2025,3,27,270046083,7,12,4,,,,,2,4,7,3,4,1,4,2.0,1.0,,,,,,,213.22653552,,
2025,1,14,140012153,2,11,2,4.0,,2.0,1.0,1,4,34,2,4,2,4,5.0,2.0,11.0,9.0,,,2.0,40.0,99.8612407,750.0,750.0
2025,3,31,310386338,10,12,2,,,,,1,1,44,2,3,1,4,7.0,2.0,,,,,,,575.16561352,,
2024,2,35,350440350,10,11,5,,,,,2,4,90,6,5,1,1,2.0,2.0,,,,,,,1333.95358784,,
2023,4,41,410117489,13,10,1,9.0,1.0,1.0,1.0,1,1,66,1,3,1,2,3.0,2.0,6.0,5.0,1.0,,4.0,40.0,556.45400947,3000.0,3000.0
2025,3,33,330699208,1,12,2,9.0,1.0,2.0,1.0,2,1,72,2,3,1,2,5.0,2.0,4.0,5.0,1.0,,3.0,72.0,460.14997088,1000.0,1000.0
2024,1,21,210091079,8,11,2,1.0,,1.0,1.0,1,4,34,2,2,1,1,7.0,2.0,7.0,2.0,4.0,2.0,3.0,40.0,325.18897378,3000.0,3000.0
2024,1,41,410255553,3,10,1,9.0,2.0,1.0,1.0,1,1,45,1,2,2,4,5.0,2.0,4.0,5.0,1.0,,4.0,44.0,125.92391586,6000.0,10000.0
2024,2,29,290209068,10,11,1,1.0,,1.0,1.0,1,4,57,1,2,2,4,2.0,2.0,1.0,9.0,1.0,2.0,4.0,49.0,228.92976813,1412.0,1412.0
2025,2,26,260094690,4,12,1,2.0,,2.0,1.0,2,2,48,1,5,2,4,1.0,2.0,2.0,9.0,3.0,2.0,2.0,56.0,283.44139726,75.0,75.0
2023,1,35,350219855,5,10,1,1.0,,1.0,1.0,1,1,36,1,1,1,4,2.0,2.0,2.0,8.0,1.0,2.0,4.0,78.0,2935.68792877,3000.0,3700.0
2024,4,35,350550710,13,11,1,9.0,2.0,2.0,1.0,2,1,26,1,1,1,1,5.0,2.0,10.0,5.0,1.0,,2.0,40.0,1779.64459165,1000.0,1000.0
2024,4,17,170012338,8,11,4,,,,,1,2,12,3,4,2,4,2.0,1.0,,,,,,,69.98696615,,
2024,4,11,110000988,4,11,4,,,,,2,1,13,8,4,1,4,2.0,1.0,,,,,,,142.97663807,,
2023,1,13,130002818,9,10,1,,,,,2,4,35,1,4,1,4,5.0,2.0,,,,,,,445.8407291,,
2023,4,23,230026797,8,11,2,,,,,2,1,31,2,4,1,4,3.0,2.0,,,,,,,475.86466869,,
2023,1,53,530012155,13,10,2,1.0,,1.0,1.0,1,1,32,2,3,1,1,5.0,2.0,4.0,1.0,4.0,2.0,4.0,44.0,331.71715014,8000.0,8000.0
2023,3,31,310402083,9,10,1,1.0,,1.0,1.0,1,4,53,1,3,1,2,5.0,2.0,2.0,5.0,4.0,2.0,4.0,40.0,787.52824074,4000.0,4000.0
